,관할보건소,동,설치기관이름,설치기관주소,기관연락처,설치 위치,경도,위도
0,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,126.847766048602,35.1454973036399
1,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,126.847766048602,35.1454973036399
2,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내,126.847766048602,35.1454973036399
3,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,지하3층 역무실 앞,126.847766048602,35.1454973036399
4,동구,마륵동,광주도시철도공사,"광주광역시 서구 상무대로 760', ' 광주광역시도시철도공사 (마륵동)",062-604-8000,사무실내(지하1층),126.847766048602,35.1454973036399
5,북구,문흥동,문흥중학교,광주광역시 북구 능안로 2 문흥중 (문흥동),062-250-1500,본관 1층 중앙(인쇄실 옆),126.917999611112,35.1860849430037
6,동구,서석동,광주광역시동구보건소,광주광역시 동구 서남로 1 (서석동),062-608-3303,보건소 진료실,126.92309316107,35.1461417002004
7,북구,운암동,운암초등학교,"광주광역시 북구 서강로 79-14', ' 운암초등학교 (운암동)",062-520-5473,본관 중앙현관,126.870994861711,35.1804785785857
8,북구,운암동,운암초등학교,"광주광역시 북구 서강로 79-14', ' 운암초등학교 (운암동)",062-520-5473,강당,126.870994861711,35.1804785785857
9,남구,양림동,광주학강초등학교,"광주광역시 남구 양림로 92', ' 학강초등학교 (양림동)",062-720-5339,강당,126.918085731635,35.1382006644559
10,북구,중흥동,효동초등학교,"광주광역시 북구 서양로 99', ' 광주효동초등학교 (중흥동)",062-520-2839,강당,126.911855018015,35.1690608499758
11,북구,중흥동,효동초등학교,"광주광역시 북구 서양로 99', ' 광주효동초등학교 (중흥동)",062-520-2839,본관 1층,126.911855018015,35.1690608499758
12,동구,서석동,서남동주민센터,"광주광역시 동구 서남로 14', ' 서남동주민센터 (서석동)",062-608-3744,서남동주민센터,126.923162976621,35.1449509557856
13,광산구,신창동,진흥중학교,"광주광역시 광산구 왕버들로 307', ' 진흥중학교', '진흥고등학교 (신창동)",062-960-2289,체육관 출입구,126.841688616317,35.196436007411
14,서구,동천동,빛고을유치원,"광주광역시 서구 하남대로680번길 27', ' 대자중학교 (동천동)",062-712-1200,1층 현관,126.867521746386,35.1690889829872
15,서구,세하동,송학초등학교,"광주광역시 서구 눌재로 408', ' 송학초등학교 (세하동)",062-602-4027,1층 보건실 앞,126.830354893359,35.1130458468448
16,서구,화정동,주월초등학교,"광주광역시 서구 화운로 36', ' 주월초등학교 (화정동)",062-602-3870,강당 입구,126.883742713902,35.1447029507878
17,서구,풍암동,풍암중학교,"광주광역시 서구 풍암순환로 51', ' 풍암중학교 (풍암동)",062-650-9552,후관 2층 체육관 앞,126.878123148545,35.1223590426506
18,서구,쌍촌동,광주출입국관리사무소,광주광역시 서구 상무대로911번길 22,062-605-5205,카운티 버스,126.861914912405,35.1528719673867
19,서구,풍암동,운리초등학교,"광주광역시 서구 풍암운리로23번길 5', ' 운리초등학교 (풍암동)",062-650-3847,학교체육관(강당),126.865658950201,35.1236849359407
20,서구,화정동,주월초등학교,"광주광역시 서구 화운로 36', ' 주월초등학교 (화정동)",062-602-3870,중앙 현관 1층,126.883742713902,35.1447029507878
21,북구,각화동,각화중학교,"광주광역시 북구 군왕로 234', ' 각화중학교 (각화동)",062-250-1690,체육관 앞,126.937969712888,35.1814937728566
22,동구,지산동,조선대학교여자중학교,"광주광역시 동구 지산로 16', ' 조선대학교여자중학교 (지산동)",062-230-9400,체육관,126.93157644587,35.1458224775011
23,광산구,월곡동,월곡초등학교,"광주광역시 광산구 월곡산정로 107', ' 월곡초등학교 (월곡동)",062-958-3802,체육관입구,126.81498478181,35.1667761187472
24,북구,본촌동,본촌초등학교,"광주광역시 북구 본촌택지로30번길 22', ' 본촌초등학교 (본촌동)",062-606-6875,체육관,126.881491959591,35.2152351232216
25,동구,지산동,조선대학교여자고등학교,"광주광역시 동구 지산로 36', ' 조선대학교여자고등학교 (지산동)",062-220-7542,체육관,126.932720282964,35.1464460489164
26,광산구,용동,평동중학교,"광주광역시 광산구 평동로735번길 70', ' 평동중학교 (용동)",062-949-5811,체육관2층 현관,126.753419538696,35.1290306721984
27,광산구,장덕동,고실초등학교,"광주광역시 광산구 풍영로 300', ' 고실초등학교 (장덕동)",062-950-9999,강당,126.816592184632,35.1983518467549
28,광산구,월계동,월계중학교,"광주광역시 광산구 첨단중앙로181번길 82', ' 월계중학교 (월계동)",062-970-9790,체육관,126.832919595459,35.2199238933035
29,광산구,월계동,첨단중학교,"광주광역시 광산구 첨단내촌로 16', ' 첨단중학교 (월계동)",062-970-9550,2층강당 및 체육관,126.837597226182,35.2082476763147
30,광산구,신가동,신가초등학교,"광주광역시 광산구 신가로40번길 21', ' 신가초등학교 (신가동)",062-960-5173,본관1층 출입구,126.827877281013,35.1834343347697
31,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,본관 현관 앞,126.95110886078,35.2057871470699
32,광산구,월곡동,하남중앙초등학교,"광주광역시 광산구 산정로6번길 21-20', ' 하남중앙초등학교 (월곡동)",062-958-9186,강당입구,126.804981475086,35.168700508545
33,광산구,남산동,본량초등학교,"광주광역시 광산구 용진로 323', ' 본량초등학교 (남산동)",062-943-9568,강당,126.722379855274,35.1808217594719
34,광산구,월계동,산월초등학교,"광주광역시 광산구 산월로9번길 36', ' 산월초등학교 (월계동)",062-970-4701,강당,126.83905303285,35.2109717003255
35,광산구,송정동,송정중학교,"광주광역시 광산구 내상로15번길 23', ' 송정중학교 (송정동)",062-949-7547,강당,126.796326819876,35.1413723115678
36,광산구,장덕동,성덕초등학교,"광주광역시 광산구 풍영로 313', ' 성덕초등학교 (장덕동)",062-717-4280,강당,126.814301085107,35.199146412376
37,동구,내남동,지한초등학교,"광주광역시 동구 남계길 37', ' 지한초등학교 (내남동)",062-220-7672,강당,126.940205447938,35.0940876748714
38,동구,용산동,광주용산초등학교,"광주광역시 동구 화산로 334', ' 용산초등학교 (용산동)",062-230-0071,중앙 현관,126.931652609106,35.1187678230416
39,광산구,월곡동,영천중학교,"광주광역시 광산구 사암로340번안길 21', ' 영천중학교 (월곡동)",062-958-4775,2층 체육관 앞,126.810922887873,35.1770162842321
40,북구,우산동,우산초등학교,광주광역시 북구 서방로63번길 67 우산초 (우산동),062-266-1773,본관1층 교무실,126.920379030934,35.1759524024288
41,북구,두암동,광주동신중학교,"광주광역시 북구 동문대로 50', ' 동강대학', '동신중.고', '동신여중.고등학교 (두암동)",062-520-2128,2층 교사동 보건실 앞 복도,126.92234609245,35.1694378564351
42,광산구,도산동,송정초등학교,"광주광역시 광산구 송도로208번길 25', ' 송정초등학교 (도산동)",062-949-3773,본관1층 중앙화장실 옆,126.796222900481,35.1315977759523
43,동구,내남동,지한초등학교,"광주광역시 동구 남계길 37', ' 지한초등학교 (내남동)",062-220-7672,전관동 1층 보건실 옆,126.940205447938,35.0940876748714
44,광산구,운남동,목련초등학교,"광주광역시 광산구 목련로153번길 20', ' 목련초등학교 (운남동)",062-958-5891,강당입구,126.81560704509,35.1729033178284
45,남구,봉선동,광주유안초등학교,광주광역시 남구 봉선로175번길 16 (봉선동),062-650-3781,후관1층 보건실 앞 복도,126.914686235114,35.1254853980311
46,광산구,수완동,수완초등학교,"광주광역시 광산구 장덕로 143', ' 수완초등학교 (수완동)",062-960-9075,강당(체육관),126.824507502736,35.1979020837656
47,남구,봉선동,광주유안초등학교,광주광역시 남구 봉선로175번길 16 (봉선동),062-650-3781,강당 내 무대 옆,126.914686235114,35.1254853980311
48,남구,봉선동,라인하이츠아파트,"광주광역시 남구 대남대로159번길 31 106동 초소앞 (봉선동', ' 라인하이츠)",062-672-4316,106동 경비초소,126.908890894512,35.1310740536714
49,광산구,우산동,광산중학교,"광주광역시 광산구 사암로158번길 23', ' 광산중학교 (우산동)",062-601-6853,체육관,126.808604966776,35.159225991363
50,광산구,산월동,월봉초등학교,"광주광역시 광산구 산월로 101', ' 월봉초등학교 (산월동)",062-970-3679,강당입구,126.848113294414,35.2095136619173
51,광산구,선암동,선운중학교,"광주광역시 광산구 선운로20번길 37', ' 선운중학교 (선암동)",062-717-9480,2층강당,126.774826099666,35.148242286973
52,남구,백운동,청년와락,"광주광역시 남구 독립로 7', ' 청년와락 (백운동)",062-607-2681,3층(청년와락),126.901286522042,35.1342629806863
53,남구,봉선동,동아여자고등학교,"광주광역시 남구 오방로 16-10', ' 동아여자고등학교', ' 동아여자중학교 (봉선동)",062-650-1999,중앙현관,126.922069874951,35.1258474908771
54,광산구,운남동,마지초등학교,"광주광역시 광산구 목련로219번길 104', ' 마지초등학교 (운남동)",062-958-7440,현관 중앙(행정실 앞),126.824046494802,35.1762197008635
55,광산구,운남동,마지초등학교,"광주광역시 광산구 목련로219번길 104', ' 마지초등학교 (운남동)",062-958-7440,후관 현관 중앙,126.824046494802,35.1762197008635
56,광산구,산정동,광산구치매안심센터,광주광역시 광산구 용아로379번길 77 (산정동),062-960-6925,1층복도,126.800234632772,35.1761512237737
57,북구,용두동,용두2주공@,"광주광역시 북구 하서로483번길 22 (용두동', ' 용두주공2차아파트)",062-575-9100,3경비초소,126.875238110109,35.2167708708374
58,북구,동림동,죽림마을주공아파트,광주광역시 북구 유림로160번길 5 (동림동) 죽림마을주공아파트,5142303,제2경비초소,126.86647608921,35.1774780248795
59,북구,송하동,광주남부소방서,"광주광역시 남구 송암로58번길 13', ' 남부소방서 송하119안전센터 (송하동)",062-613-8608,구급차내,126.878340652978,35.1105075675122
60,광산구,소촌동,어룡초등학교,"광주광역시 광산구 소촌로 122', ' 어룡초등학교 (소촌동)",062-949-2604,본관 1층 현관,126.793432011503,35.1551258516602
61,동구,산수동,무등산그린웰로제비앙아파트,"광주광역시 동구 동계로 38 (산수동', ' 무등산 그린웰로제비앙)",2291251,관리사무소내,126.925854851326,35.1555702127517
62,남구,봉선동,동아여자중학교,"광주광역시 남구 오방로 16-10', ' 동아여자고등학교', ' 동아여자중학교 (봉선동)",062-650-1200,2층 중앙 출입구,126.922069874951,35.1258474908771
63,북구,문흥동,문산초등학교,광주광역시 북구 문산로 66 문산초 (문흥동),062-250-2107,중앙현관,126.92514276279,35.1872132883686
64,북구,동림동,한울초등학교,광주광역시 북구 유림로160번길 15 한울초 (동림동),062-510-3672,본관2층 복도입구,126.866425154814,35.1762005665731
65,동구,산수동,광주장원초등학교,"광주광역시 동구 무등로 533', ' 장원초등학교 (산수동)",2503800,본관 1층 중앙출입문,126.9377690817,35.157789305949
66,남구,진월동,광주남구진제초등학교,광주광역시 남구 서문대로654번길 45 (진월동),062-717-3900,본관 중앙현관,126.903153652946,35.1156507709009
67,남구,진월동,광주씨티병원,광주광역시 남구 서문대로654번길 5 (진월동),062-460-7631,일반구급차 내,126.899496862764,35.1177185916361
68,북구,중흥동,광주중흥초등학교,광주광역시 북구 경양로197번길 25 중흥초 (중흥동),062-612-9905,본관 1층 현관(행정실 옆),126.913544492327,35.1608547471817
69,북구,신용동,건국유치원,"광주광역시 북구 첨단연신로108번길 104', ' 건국유치원 (신용동)",062-713-6362,1층 보건실 앞,126.864963273299,35.2102811172577
70,북구,본촌동,본촌초등학교,"광주광역시 북구 본촌택지로30번길 22', ' 본촌초등학교 (본촌동)",062-606-6875,1층 중앙현관,126.881491959591,35.2152351232216
71,북구,각화동,각화중학교,"광주광역시 북구 군왕로 234', ' 각화중학교 (각화동)",062-250-1690,본관 1층 현관,126.937969712888,35.1814937728566
72,북구,삼각동,삼각초등학교,광주광역시 북구 송해로 21 삼각초 (삼각동),062-570-6571,현관(인쇄실 앞),126.900249042687,35.2006427361593
73,광산구,운남동,운남초등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,본관1층 현관,126.819284843722,35.1776044736701
74,북구,동림동,동림초등학교,광주광역시 북구 동림용산로 7 동림초 (동림동),062-520-6604,현관 앞,126.86761865577,35.187449892996
75,북구,우산동,무등초등학교,광주광역시 북구 면앙로 99 무등초 (우산동),062-260-3800,본관 1층 중앙현관,126.922769081199,35.1787925927539
76,광산구,운남동,운남초등학교,"광주광역시 광산구 하남대로 248-22', ' 운남초등학교 (운남동)",062-958-5779,강당 앞,126.819284843722,35.1776044736701
77,광산구,우산동,어등초등학교,"광주광역시 광산구 월곡산정로 50', ' 어등초등학교 (우산동)",062-958-0970,1층 중앙현관,126.807783827659,35.1655005737145
78,광산구,월계동,첨단중학교,"광주광역시 광산구 첨단내촌로 16', ' 첨단중학교 (월계동)",062-970-9550,중앙현관 우측 행정실 앞,126.837597226182,35.2082476763147
79,광산구,월계동,비아중학교,"광주광역시 광산구 첨단중앙로181번길 42-26', ' 비아중학교 (월계동)",070-8668-7119,1층 중앙현관 입구,126.836385141286,35.2227424585731
80,동구,장동,전남여자고등학교,"광주광역시 동구 제봉로158번길 8', ' 전남여자고등학교 (장동)",062-220-0383,본관 중앙현관 1층,126.920831349833,35.1505483499716
81,동구,용산동,용산모아엘가,"광주광역시 동구 용산3길 17 (용산동', ' 모아엘가 에듀파크)",2296031,경비실,126.926839518452,35.1181854355772
82,광산구,신창동,진흥중학교,"광주광역시 광산구 왕버들로 307', ' 진흥중학교', '진흥고등학교 (신창동)",062-960-2289,1층 중앙현관 입구,126.841688616317,35.196436007411
83,동구,소태동,무등산골드클래스,"광주광역시 동구 학소로 109 (소태동', ' 무등산골드클래스)",2323199,관리사무소내(1층),126.931970948775,35.1297377914349
84,서구,쌍촌동,광주광역시서구치매안심센터,"광주광역시 서구 상무대로884번길 17-20', ' 서구치매안심센터 (쌍촌동)",062-350-4769,서구치매안심센터 입구,126.860335041386,35.1488573915964
85,북구,망월동,광주동초등학교,광주광역시 북구 석곡로 527 광주동초 (망월동),062-250-2700,본관 건물 2층(강당앞),126.95110886078,35.2057871470699
86,남구,봉선동,봉선금호타운1차아파트,"광주광역시 남구 봉선로133번길 4 (봉선동', ' 금호타운)",062-675-5590,9동 경비실 앞,126.910483851511,35.1248985534812
87,서구,풍암동,광주도시공사실내빙상장,"광주광역시 서구 금화로 278', ' 실내 빙상장 (풍암동)",010-****-****,실내 빙상장 안내데스크,126.87916885013,35.1366355242332
88,북구,양산동,양산초등학교,광주광역시 북구 연양로 33 양산초 (양산동),062-570-8800,현관 앞 1동 1층 중앙,126.871460773842,35.2071868188173
89,북구,운암동,광주동운초등학교,"광주광역시 북구 북문대로8번길 21', ' 동운초등학교 (운암동)",062-520-5571,강당,126.884121123774,35.1749367883726
90,북구,각화동,각화초등학교,광주광역시 북구 각화대로39번길 10 각화초 (각화동),062-260-2607,본관 1층 중앙현관,126.935741856717,35.1824265065507
